,address,lat,long,PIN,date,description,tokenized_final,cost,value,year
341561,132 S EAST AVE,39.290519,-76.571792,1752099,03/22/2017,reconstruct new waste and water in basement bath  and instal 3 new fixtures in new basement bathroom. add 1 new sewage injector pit and pump as per code.,"['reconstruct', 'waste', 'water', 'basement', 'bath', 'fixtures', 'basement', 'bathroom', 'add', 'sewage', 'injector', 'pit', 'pump']",1000.0,301000.0,2017
349513,1212 TOWSON ST,39.27202,-76.590371,1989004,06/16/2017,reconstruct - rough in three full bathroom - (1) lavatory  (1) water closet  (1) shower/tub each. install (1) sewage injection pump. as per code.,"['reconstruct', 'rough', 'three', 'full', 'bathroom', 'lavatory', 'water', 'closet', 'shower/tub', 'install', 'sewage', 'injection', 'pump']",800.0,329700.0,2017
332528,827 N MONTFORD AVE,39.300433,-76.583803,1608014,01/13/2017,amend permit# com2016-30561 issued on 12/1/16 to add the following additional work: 200a service  19 electrical circuits as per code. amend permit: change scope of work:.(original permit:com2016-30561:bldg. com2016-210213 full bathrooms  laundry  kitchen sink garbage disposal dishwasher hose bibb sump pump sewage ej. gas line for stove 40k  furnace 70k btu 40k dryer 40k )original permit description:(com2016-30561)bldg. com2016-210213 full bathrooms  laundry  kitchen sink garbage disposal dishwasher hose bibb sump pump sewage ej. gas line for stove 40k  furnace 70k btu 40k dryer 40k,"['amend', 'com2016-30561', 'issued', '12/1/16', 'add', 'following', 'additional', '200a', 'service', 'electrical', 'circuits', 'amend', 'change', 'scope', 'original', 'com2016-30561', 'bldg', 'com2016-210213', 'full', 'bathrooms', 'laundry', 'kitchen', 'sink', 'garbage', 'disposal', 'dishwasher', 'hose', 'bibb', 'sump', 'pump', 'sewage', 'ej', 'gas', 'line', 'stove', '40k', 'furnace', '70k', 'btu', '40k', 'dryer', '40k', 'original', 'description', 'com2016-30561', 'bldg', 'com2016-210213', 'full', 'bathrooms', 'laundry', 'kitchen', 'sink', 'garbage', 'disposal', 'dishwasher', 'hose', 'bibb', 'sump', 'pump', 'sewage', 'ej', 'gas', 'line', 'stove', '40k', 'furnace', '70k', 'btu', '40k', 'dryer', '40k']",6000.0,10800.0,2017
334759,242 S WASHINGTON ST,39.288104,-76.588945,1755038,01/19/2017,relocate 12 fixtures  1 electric water heater. relocate drains in bathrooms. install gas line to new furnace and stove. replace cast iron sewage stack. rough in bathroom in basement as per code.                  * hvac by others 8,"['relocate', 'fixtures', 'electric', 'water', 'heater', 'relocate', 'drains', 'bathrooms', 'install', 'gas', 'line', 'furnace', 'stove', 'replace', 'cast', 'iron', 'sewage', 'stack', 'rough', 'bathroom', 'basement', '*', 'hvac', 'others']",5000.0,173300.0,2017
334960,3903 INNER CIR,39.230107,-76.592278,7257049,01/13/2017,2nd floor: replace toilet  vanity  new tub and shower faucet. 1st floor: replace kitchen sink. basement: replace toilet  new tub and shower  new sewage in basement floor (3 inches pvc pipe and new washer box as per code.,"['2nd', 'floor', 'replace', 'toilet', 'vanity', 'tub', 'shower', 'faucet', '1st', 'floor', 'replace', 'kitchen', 'sink', 'basement', 'replace', 'toilet', 'tub', 'shower', 'sewage', 'basement', 'floor', 'inches', 'pvc', 'pipe', 'washer', 'box']",5000.0,80100.0,2017
339834,505 N CURLEY ST,39.297155,-76.57579,1660033,03/07/2017,replace sewage ejector - (one device plumbing) as per code,"['replace', 'sewage', 'ejector', 'one', 'device', 'plumbing']",250.0,44533.0,2017
340844,1427 MADISON AVE,39.30457,-76.628779,0379017,03/16/2017,rough in and trim out (2) shower stalls  (2) tubs  (1) kitchen sink  (1) garbage disposal  (4) vanity  (4) toilets  (1) dishwasher. ground work for sump pump  sewage ejector  tub  toilet  and vanity. gas for (1) furnace btu 120k and (1) stove 15k btu. as per code.,"['rough', 'trim', 'shower', 'stalls', 'tubs', 'kitchen', 'sink', 'garbage', 'disposal', 'vanity', 'toilets', 'dishwasher', 'ground', 'sump', 'pump', 'sewage', 'ejector', 'tub', 'toilet', 'vanity', 'gas', 'furnace', 'btu', '120k', 'stove', '15k', 'btu']",5000.0,40067.0,2017
341274,1518 PARKSLEY AVE,39.268629,-76.657074,7796017,03/22/2017,install 8 fixtures  water and sewage   hot water heaters. gas line to furnace and stove. install new duct work 60 000 btu furnace  3 ton a/c unit to code. gas and electric by others.,"['install', 'fixtures', 'water', 'sewage', 'hot', 'water', 'heaters', 'gas', 'line', 'furnace', 'stove', 'install', 'duct', 'btu', 'furnace', 'ton', 'a/c', 'unit', 'gas', 'electric', 'others']",5000.0,101400.0,2017
341793,2723 MILES AVE,39.319921,-76.623015,3644060,03/29/2017,reconstruct water and waste for 2 tolets  3 vanities  1 tub  1 shower  1 kitchen sink  1 disposer  1 ice box  2 hose bibs  1 laundry box  1 sewage ejector  1 electric hwh  1 gas furnace 100k  1 gas stove 40k  1 gas dryer 25k . hvac by others as per code.,"['reconstruct', 'water', 'waste', 'tolets', 'vanities', 'tub', 'shower', 'kitchen', 'sink', 'disposer', 'ice', 'box', 'hose', 'bibs', 'laundry', 'box', 'sewage', 'ejector', 'electric', 'hwh', 'gas', 'furnace', '100k', 'gas', 'stove', '40k', 'gas', 'dryer', '25k', 'hvac', 'others']",5000.0,79500.0,2017
342822,621 S LEHIGH ST,39.285499,-76.557931,6556038,04/06/2017,13 plumbing fixtures with sewage and water hot water heater as per code.,"['plumbing', 'fixtures', 'sewage', 'water', 'hot', 'water', 'heater']",3500.0,227633.0,2017
345297,1819 COVINGTON ST,39.269313,-76.60645,1945010,05/02/2017,install new plumbing lines  sanitary and gas. install new water heater (electrical) and plumbing fixtures. 15' underground with sewage ejection pump. new 15k btu stove and 100k btu furnace. as per code,"['install', 'plumbing', 'lines', 'sanitary', 'gas', 'install', 'water', 'heater', 'electrical', 'plumbing', 'fixtures', 'underground', 'sewage', 'ejection', 'pump', '15k', 'btu', 'stove', '100k', 'btu', 'furnace']",2500.0,403500.0,2017
348126,6020 CROSS COUNTRY BLVD,39.36208,-76.685259,4360B072,06/07/2017,apwc: this emergency work is approved. note: this property is in a floodplain  which means there is a small chance (1% annual chance) that it will flood every year. the sewer line repair must be done to prevent flood waters from entering the line itself  and to withstand damage from a flood which will prevent sewage from leaking out.emergency exterior work: repair 4 inches sanitary sewer line as per code  in the front yard,"['apwc', 'emergency', 'approved', 'note', 'property', 'floodplain', 'means', 'small', 'chance', 'annual', 'chance', 'flood', 'every', 'year', 'sewer', 'line', 'repair', 'must', 'done', 'prevent', 'flood', 'waters', 'entering', 'line', 'withstand', 'damage', 'flood', 'prevent', 'sewage', 'leaking', 'out.emergency', 'exterior', 'repair', 'inches', 'sanitary', 'sewer', 'line', 'front', 'yard']",2000.0,256133.0,2017
351531,5302 PURLINGTON WAY,39.359898,-76.617814,5000011,07/07/2017,exterior work - replace 40' of 4 inches pipe for sewage. as per code.,"['exterior', 'replace', 'inches', 'pipe', 'sewage']",2500.0,677900.0,2017
354991,2832 MAUDLIN AVE,39.260945,-76.65446,7838021,08/04/2017,rough in plumbing below slab and install sewage ejector pit. install above grade water  waste and vent for sewage ejector  toilet and pedestal sink. all work to be completed per code,"['rough', 'plumbing', 'slab', 'install', 'sewage', 'ejector', 'pit', 'install', 'grade', 'water', 'waste', 'vent', 'sewage', 'ejector', 'toilet', 'pedestal', 'sink', 'completed']",4800.0,131800.0,2017
406918,1111 PINE HEIGHTS AVE,39.268802,-76.675391,7654H012,05/08/2017,install 3 1/2 bathrooms  washer box  kitchen w/ disposal  dishwasher  & hose bib. install sewage ejector pit & pump  furnace (90k btu)  stove (35k btu)  & water heater (45k btu). as per code.,"['install', '1/2', 'bathrooms', 'washer', 'box', 'kitchen', 'w/', 'disposal', 'dishwasher', 'hose', 'bib', 'install', 'sewage', 'ejector', 'pit', 'pump', 'furnace', '90k', 'btu', 'stove', '35k', 'btu', 'water', 'heater', '45k', 'btu']",4500.0,112000.0,2017
406852,2409 E EAGER ST,39.301817,-76.583577,1591048,04/20/2017,rough in and trim out of 2 toilets  2 tubs  2 lav sinks  1 showers  1 kitchen sink  1 garbage disposal  1 dishwasher 2 hose bibs  1 washing machine box  and 1 laundry tub  installation of new gas appliance  water heater  furnace  and range 1 sewage ejection pit and 1 sub pump as per code,"['rough', 'trim', 'toilets', 'tubs', 'lav', 'sinks', 'showers', 'kitchen', 'sink', 'garbage', 'disposal', 'dishwasher', 'hose', 'bibs', 'washing', 'machine', 'box', 'laundry', 'tub', 'installation', 'gas', 'appliance', 'water', 'heater', 'furnace', 'range', 'sewage', 'ejection', 'pit', 'sub', 'pump']",8193.0,220000.0,2017
406744,259 S EAST AVE,39.288882,-76.571683,6293030,04/18/2017,install new sewage injector pump in basement renovation- run new waste and water to 3 full bathrooms.  kitchens and laundry room in basement. rework existing gas line for new kitchen water heater and furnace are existing. as per code. gas tie ins.,"['install', 'sewage', 'injector', 'pump', 'basement', 'renovation-', 'run', 'waste', 'water', 'full', 'bathrooms', 'kitchens', 'laundry', 'room', 'basement', 'rework', 'existing', 'gas', 'line', 'kitchen', 'water', 'heater', 'furnace', 'existing', 'gas', 'tie', 'ins']",2000.0,223800.0,2017
407146,1501 GLENEAGLE ROAD,39.362359,-76.586517,5237B306,05/01/2017,exterior work - repair / replace main sewage as per code,"['exterior', 'repair', '/', 'replace', 'main', 'sewage']",3500.0,141800.0,2017
318602,1602 JACKSON ST,39.271779,-76.605047,1941075,06/09/2017,install new plumbing fixtures and water heater. replace sanitary  water lines  and gas piping with new. install sewage ejection pump and 15 underground pipe. new 15 000 btu stove and 100 000 btu furnace as per code,"['install', 'plumbing', 'fixtures', 'water', 'heater', 'replace', 'sanitary', 'water', 'lines', 'gas', 'piping', 'install', 'sewage', 'ejection', 'pump', 'underground', 'pipe', 'btu', 'stove', 'btu', 'furnace']",2500.0,435000.0,2017
307551,605 S POTOMAC ST,39.285127,-76.574297,1843A003,04/13/2016,installing (1) sewage ejector pump package. rough-in for (1) toilet  washing machine  sink  and field built shower stall as per code.,"['installing', 'sewage', 'ejector', 'pump', 'package', 'rough-in', 'toilet', 'washing', 'machine', 'sink', 'field', 'built', 'shower', 'stall']",2000.0,278800.0,2016
313415,1515 N BROADWAY,39.30796,-76.594747,1477008,06/15/2016,3 1/2 bath  kitchen sink  dishwasher  garbage disposal  laundry hook up  sump pump  sewage ejector  (2) hose bib  reconstruct waste and water  (2) 80k btu furnaces  (1) 30k btu range  electric water heater. as per code. *hvac and electric by others*,"['1/2', 'bath', 'kitchen', 'sink', 'dishwasher', 'garbage', 'disposal', 'laundry', 'hook', 'sump', 'pump', 'sewage', 'ejector', 'hose', 'bib', 'reconstruct', 'waste', 'water', '80k', 'btu', 'furnaces', '30k', 'btu', 'range', 'electric', 'water', 'heater', '*hvac', 'electric', 'others*']",10000.0,246667.0,2016
312983,1412 N BROADWAY,39.306783,-76.594916,1138052,06/15/2016,3 1/2 bath  kitchen sink  dishwasher  garbage disposal  laundry hook up  sump pump  sewage ejector  (2) hose bib  reconstruct waste and water  (1) 80k btu furnace  (1) 30k btu range  electric water heater. as per code. *hvac and electric by others*,"['1/2', 'bath', 'kitchen', 'sink', 'dishwasher', 'garbage', 'disposal', 'laundry', 'hook', 'sump', 'pump', 'sewage', 'ejector', 'hose', 'bib', 'reconstruct', 'waste', 'water', '80k', 'btu', 'furnace', '30k', 'btu', 'range', 'electric', 'water', 'heater', '*hvac', 'electric', 'others*']",10000.0,8333.0,2016
313480,1519 N BROADWAY,39.308034,-76.594752,1477010,06/15/2016,3 1/2 bath  kitchen sink  dishwasher  garbage disposal  laundry  sump pump  (2) hose bib  reconstruct waste and water  (1) 30k btu range  sewage ejectro pump  electric water heater. as per code.,"['1/2', 'bath', 'kitchen', 'sink', 'dishwasher', 'garbage', 'disposal', 'laundry', 'sump', 'pump', 'hose', 'bib', 'reconstruct', 'waste', 'water', '30k', 'btu', 'range', 'sewage', 'ejectro', 'pump', 'electric', 'water', 'heater']",10000.0,246667.0,2016
313860,781 W CROSS ST,39.279851,-76.628214,0938021,06/28/2016,1 full bath  2 half bath  reconstruct sanitary and water. gas range  water heater gas  refrigerator ice maker box. 1 garbage disposal  dishwasher  laundry  sewage ejector and sump pump (2) hose bibs  gas piping reconstructed for furnace as per code. * hvac by others *,"['full', 'bath', 'half', 'bath', 'reconstruct', 'sanitary', 'water', 'gas', 'range', 'water', 'heater', 'gas', 'refrigerator', 'ice', 'maker', 'box', 'garbage', 'disposal', 'dishwasher', 'laundry', 'sewage', 'ejector', 'sump', 'pump', 'hose', 'bibs', 'gas', 'piping', 'reconstructed', 'furnace', '*', 'hvac', 'others', '*']",5000.0,113600.0,2016
314126,3501 ASIATIC AVE,39.23218,-76.566938,7386B001,07/20/2016,construction of  a residual transfer station with a concrete slab on grade and a metal roof for the storage and dewatering of residuals from influent sewage to patapsco wastewater treatment plant.,"['construction', 'residual', 'transfer', 'station', 'concrete', 'slab', 'grade', 'metal', 'roof', 'storage', 'dewatering', 'residuals', 'influent', 'sewage', 'patapsco', 'wastewater', 'treatment', 'plant']",2928000.0,12134300.0,2016
314269,2609 KIRK AVE,39.320955,-76.599275,4114H005,06/30/2016,repipe water & waste for 2nd full bathroom  kitchen with dishwasher and garbage disposal  laundry box  sewage ejector & sump pump. gas line for furnace 80k btu & stove 40k btu  electric water heater as per code.,"['repipe', 'water', 'waste', '2nd', 'full', 'bathroom', 'kitchen', 'dishwasher', 'garbage', 'disposal', 'laundry', 'box', 'sewage', 'ejector', 'sump', 'pump', 'gas', 'line', 'furnace', '80k', 'btu', 'stove', '40k', 'btu', 'electric', 'water', 'heater']",4000.0,30000.0,2016
307696,631 W 33RD ST,39.327082,-76.627384,3642B011,04/22/2016,isntall plumbing and gas fitting for the property listed above. install plumbing waste  vent for 2 bathroom located on the 2 level. 2 toilets  2 vanity sink  2 tub and shower combo. kitchen sink with dishwasher and ice maker. half powder located in basmeent 1 toilet  1 vanity & 1 clothes washing machine. 1 sewage ejector pump located for the half powder bathroom. 1 100 000 btu furnace as per code.* hvac by others *,"['isntall', 'plumbing', 'gas', 'fitting', 'property', 'listed', 'install', 'plumbing', 'waste', 'vent', 'bathroom', 'located', 'level', 'toilets', 'vanity', 'sink', 'tub', 'shower', 'combo', 'kitchen', 'sink', 'dishwasher', 'ice', 'maker', 'half', 'powder', 'located', 'basmeent', 'toilet', 'vanity', 'clothes', 'washing', 'machine', 'sewage', 'ejector', 'pump', 'located', 'half', 'powder', 'bathroom', 'btu', 'furnace', '*', 'hvac', 'others', '*']",5100.0,317833.0,2016
403153,1505 CLARKSON ST,39.272116,-76.616097,1002074,09/02/2016,reconstruct waste/water for three full bathrooms with showers  kitchen w/garbage disposal  ice maker  dish washer  laundry box upstairs  1 hose bib  sewage ejector pit  sump pump with drain tile  gas for 40 000 btu and furnace 75 000 btu electric water heater. work done to code.,"['reconstruct', 'waste/water', 'three', 'full', 'bathrooms', 'showers', 'kitchen', 'w/garbage', 'disposal', 'ice', 'maker', 'dish', 'washer', 'laundry', 'box', 'upstairs', 'hose', 'bib', 'sewage', 'ejector', 'pit', 'sump', 'pump', 'drain', 'tile', 'gas', 'btu', 'furnace', 'btu', 'electric', 'water', 'heater', 'done']",4000.0,376600.0,2016
307113,152 N POTOMAC ST,39.294383,-76.574922,1713122,04/22/2016,install plumbing in dwelling waste  vent. install new water piping. install gas line for range 35 000 btu  furnace 100 000 btu. 2 bathroom located on the 2nd floor of dwelling  2 toilets  2 lavatory sinks  1 bath tub and shower combo  1 stand up shower. 1 sewage pump located in basement for 1 washing machine  1 laundry sink  1 toilet  1 lavatory sink  1 stand up shower. 1 kitchen island with dishwasher and 1 electric water heater as per code. * hvac by others *,"['install', 'plumbing', 'dwelling', 'waste', 'vent', 'install', 'water', 'piping', 'install', 'gas', 'line', 'range', 'btu', 'furnace', 'btu', 'bathroom', 'located', '2nd', 'floor', 'dwelling', 'toilets', 'lavatory', 'sinks', 'bath', 'tub', 'shower', 'combo', 'stand', 'shower', 'sewage', 'pump', 'located', 'basement', 'washing', 'machine', 'laundry', 'sink', 'toilet', 'lavatory', 'sink', 'stand', 'shower', 'kitchen', 'island', 'dishwasher', 'electric', 'water', 'heater', '*', 'hvac', 'others', '*']",4900.0,147100.0,2016
303959,141 S EAST AVE,39.290347,-76.571781,6292031,03/23/2016,install new water and waste lines to 18 new fixures. install new lines to a 75 000 btu furnace and 46 000 btu stove. install 50 gal electric water heater. install new drain tile and sump pump and sewage ejector in basement. work done to code.,"['install', 'water', 'waste', 'lines', 'fixures', 'install', 'lines', 'btu', 'furnace', 'btu', 'stove', 'install', 'gal', 'electric', 'water', 'heater', 'install', 'drain', 'tile', 'sump', 'pump', 'sewage', 'ejector', 'basement', 'done']",6500.0,341400.0,2016
317734,1829 JACKSON ST,39.269206,-76.604873,1946015,08/11/2016,re-pipe entire house with 3.5 baths new kitchen and sewage ejection pit  sump pump and all new gas lines  supply lines  and drainage lines. electric water heater  gas furnace and gas stove as per code ***hvac by others**,"['re-pipe', 'entire', 'house', '3.5', 'baths', 'kitchen', 'sewage', 'ejection', 'pit', 'sump', 'pump', 'gas', 'lines', 'supply', 'lines', 'drainage', 'lines', 'electric', 'water', 'heater', 'gas', 'furnace', 'gas', 'stove', '***hvac', 'others**']",2000.0,389700.0,2016
303500,11 N LINWOOD AVE,39.29274,-76.576219,1730006,03/23/2016,install new water and waste lines to 18 new fixures. install new lines to a 75 000 btu furnace and 46 000 btu stove. install 50 gal electric water heater. install new drain tile and sump pump and sewage ejector in basement. work done to code.,"['install', 'water', 'waste', 'lines', 'fixures', 'install', 'lines', 'btu', 'furnace', 'btu', 'stove', 'install', 'gal', 'electric', 'water', 'heater', 'install', 'drain', 'tile', 'sump', 'pump', 'sewage', 'ejector', 'basement', 'done']",6500.0,320133.0,2016
298389,3307 CLYDE ST,39.282975,-76.569128,6450026,01/19/2016,interior work.  installing underground waste pipe. pipe in a basement bath with a sewage elector and then do the rough-in piping.  rough in gas piping for range & furnace also.  and  lastly  the setting of fixtures.  as per code,"['interior', 'installing', 'underground', 'waste', 'pipe', 'pipe', 'basement', 'bath', 'sewage', 'elector', 'rough-in', 'piping', 'rough', 'gas', 'piping', 'range', 'furnace', 'also', 'lastly', 'setting', 'fixtures']",7000.0,351900.0,2016
297442,1137 W CROSS ST,39.281776,-76.631095,0791080,01/15/2016,amend permit # com2015-30028  issued on 12/15/15 to add the following additional work: install bath tub  shower  2 toilets  2 lavs  kitchen sink  electric water heater  sump pump  reconstruct water and waste. gas furnace 95k btu gas stove 17k btu. as per code.original permit description:(com2015-30028)installation of sewage pump - sump pump  notable water and sewage pipe as per code.,"['amend', 'com2015-30028', 'issued', '12/15/15', 'add', 'following', 'additional', 'install', 'bath', 'tub', 'shower', 'toilets', 'lavs', 'kitchen', 'sink', 'electric', 'water', 'heater', 'sump', 'pump', 'reconstruct', 'water', 'waste', 'gas', 'furnace', '95k', 'btu', 'gas', 'stove', '17k', 'btu', 'code.original', 'description', 'com2015-30028', 'installation', 'sewage', 'pump', 'sump', 'pump', 'notable', 'water', 'sewage', 'pipe']",3000.0,138300.0,2016
